vm	comparison	loop_count	padding_cells	process_run	pair	order	current_us	alternative_us	delta_us	delta_per_call_ns	alternative_delta_percent
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	1	2	2	current-first	3892	3540	-352	-0.352000	-9.044193
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	1	2	3	alternative-first	3962	3628	-334	-0.334000	-8.430086
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	1	2	4	current-first	3905	3545	-360	-0.360000	-9.218950
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	1	2	1	alternative-first	4217	3908	-309	-0.309000	-7.327484
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	1	2	2	current-first	4331	3915	-416	-0.416000	-9.605172
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	1	2	3	alternative-first	4260	3927	-333	-0.333000	-7.816901
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	1	2	4	current-first	4289	3894	-395	-0.395000	-9.209606
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	1	3	1	alternative-first	4182	3808	-374	-0.374000	-8.943089
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	1	3	2	current-first	4281	3874	-407	-0.407000	-9.507125
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	1	3	3	alternative-first	4304	3799	-505	-0.505000	-11.733271
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	1	3	4	current-first	4308	3866	-442	-0.442000	-10.259981
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	1	3	1	alternative-first	4233	3611	-622	-0.622000	-14.694070
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	1	3	2	current-first	4243	3604	-639	-0.639000	-15.060099
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	1	3	3	alternative-first	4025	3560	-465	-0.465000	-11.552795
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	1	3	4	current-first	3930	3544	-386	-0.386000	-9.821883
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	9	1	1	alternative-first	4300	3867	-433	-0.433000	-10.069767
